location	DAR KULAIB	#C4B945
location	DAMISTAN	#C6B944
location	BUSAITEEN	#C8B944
location	BURI	#CAB843
location	BUDAIYA	#CCB742
location	BU QUWAH	#CDB642
location	BILAD AL QADEEM	#CFB541
location	BAR BAR	#D0B441
location	BANI JAMRAH	#D2B340
location	BANDER AL SEEF	#D3B23F
location	Area	#D5B03F
location	AWALI	#D6AF3E
location	ASKAR	#D8AE3E
location	ARAD	#D9AD3D
location	AMWAJ	#DBAC3D
location	AL SHABAK	#DCAB3C
location	AL SEEF	#DDA93C
location	AL SAYH	#DEA73B
location	AL SAKHIR	#DFA53B
location	AL SAFRIYAH	#E0A33A
location	AL RUMAYTHAH	#E1A13A
location	AL RUMAMIN	#E19F3A
location	AL RIFFAH	#E29D39
location	AL RAMLI	#E39B39
location	AL QURAYYAH	#E49938
location	AL QURAYN	#E59738
location	AL QARYAH	#E69537
location	AL QARAH	#E69337
location	AL QAL'AH	#E69036
location	AL QADAM	#E68D36
location	AL NUWAIDRAT	#E68A35
location	AL NASFA	#E68735
location	AL MUSALLA	#E68434
location	AL MAZROWIAH	#E68234
location	AL MARKH	#E67F33
location	AL MAQSHA	#E67C32
location	AL MAMTALAH	#E67932
location	AL MA'AMEER	#E67631
location	AL LAWZI	#E67331
location	AL KHARIJIYAH	#E67030
location	AL JASRAH	#E56C2F
location	AL JANABIYAH	#E4682F
location	AL JA'SIRAH	#E4652E
location	AL HAMRIYA	#E3612D
location	AL HAMALAH	#E35E2D
location	AL HAJAR	#E25A2C
location	AL GHAYNAH	#E2572B
location	AL DUR	#E1532B
location	AL DIRAZ	#E14F2A
location	AL DAIR	#E04C29
location	AL DAIH	#E04829
location	AL BURHAMA	#DF4528
location	AL AMUR	#DF4127
location	AL AKR AL SHARQI	#DE3E27
location	AL AKR AL GHARBI	#DE3A26
location	ADHARI	#DD3625
location	ABU SAYBA	#DD3325
location	ABU BHAM	#DC2F24
location	ABU AL 'AYASH	#DC2C23
location	A'ALI	#DB2823

division    northern
division    southern
division    capital
division    muharraq

